Name,Code
Aba North,AB01
Aba South,AB01
Arochukwu,AB01
Bende, AB01
Isiala Ngwa South,AB01
Ikwuano,AB01
Isiala,AB01
Ngwa North,AB01
Isukwuato,AB01
Ukwa West,AB01
Ukwa East,AB01
Umuahia,AB01
Umuahia South,AB01
Demsa, AD01
Fufore, AD01
Ganye, AD01
Girei, AD01
Gombi, AD01
Jada, AD01
Yola North, AD01
Lamurde, AD01
Madagali, AD01
Maiha, AD01
Mayo-Belwa, AD01
Michika, AD01
Mubi South, AD01
Numna, AD01
Shelleng, AD01
Song, AD01
Toungo, AD01
Jimeta, AD01
Yola South, AD01
Hung, AD01
Aguata, AN01
Anambra, AN01
Anambra West, AN01
Anaocha, AN01
Awka South, AN01
Awka North, AN01
Ogbaru, AN01
Onitsha South, AN01
Onitsha North, AN01
Orumba North, AN01
Orumba South, AN01
Oyi, AN01
Abak, AK01
Eastern Obolo, AK01
Eket, AK01
Essien Udim, AK01
Etimekpo, AK01
Etinan, AK01
Ibeno, AK01
Ibesikpo Asutan, AK01
Ibiono Ibom, AK01
Ika, AK01
Ikono, AK01
Ikot Abasi, AK01
Ikot Ekpene, AK01
Ini, AK01
Itu, AK01
Mbo, AK01
Mkpat Enin, AK01
Nsit Ibom, AK01
Nsit Ubium, AK01
Obot Akara, AK01
Okobo, AK01
Onna, AK01
Orukanam, AK01
Oron, AK01
Udung Uko, AK01
Ukanafun, AK01
Esit Eket, AK01
Uruan, AK01
Urue Offoung, AK01
Oruko Ete, AK01
Uyo, AK01
Alkaleri, BA01
Bauchi, BA01
Bogoro, BA01
Darazo, BA01
Dass, BA01
Gamawa, BA01
Ganjuwa, BA01
Giade, BA01
Jama`are, BA01
Katagum, BA01
Kirfi, BA01
Misau, BA01
Ningi, BA01
Hira, BA01
Tafawa Balewa, BA01
Itas Gadau, BA01
Toro, BA01
Warji, BA01
Zaki, BA01
Dambam, BA01
Brass, BY01
Ekeremor, BY01
Kolok/Opokuma, BY01
Nembe, BY01
Ogbia, BY01
Sagbama, BY01
Southern Ijaw, BY01
Yenagoa, BY01
Ador, BE01
Agatu, BE01
Apa, BE01
Buruku, BE01
Gboko, BE01
Guma, BE01
Gwer East, BE01
Gwer West, BE01
Kastina-ala, BE01
Konshisha, BE01
Kwande, BE01
Logo, BE01
Makurdi, BE01
Obi, BE01
Ogbadibo, BE01
Ohimini, BE01
Oju, BE01
Okpokwu, BE01
Oturkpo, BE01
Tarka, BE01
Ukum, BE01
Vandekya, BE01
Abadan, BO01
Askira/Uba, BO01
Bama, BO01
Bayo, BO01
Biu, BO01
Chibok, BO01
Damboa, BO01
Dikwagubio, BO01
Guzamala, BO01
Gwoza, BO01
Hawul, BO01
Jere, BO01
Kaga, BO01
Kalka/Balge, BO01
Konduga, BO01
Kukawa, BO01
Kwaya-Ku, BO01
Mafa, BO01
Magumeri, BO01
Maiduguri, BO01
Marte, BO01
Mobbar, BO01
Monguno, BO01
Ngala, BO01
Nganzai, BO01
Shani, BO01
Abia, CR01
Akampa, CR01
Akpabuyo, CR01
Bakassi, CR01
Bekwara, CR01
Biase, CR01
Boki, CR01
Calabar South, CR01
Etung, CR01
Ikom, CR01
Obanliku, CR01
Obubra, CR01
Obudu, CR01
Odukpani, CR01
Ogoja, CR01
Ugep North, CR01
Yala, CR01
Yarkur, CR01
Aniocha South, DE01
Anioha, DE01
Bomadi, DE01
Burutu, DE01
Ethiope West, DE01
Ethiope East, DE01
Ika South, DE01
Ika North East, DE01
Isoko South, DE01
Isoko North, DE01
Ndokwa East, DE01
Ndokwa West, DE01
Okpe, DE01
Oshimili North, DE01
Oshimili South, DE01
Patani, DE01
Sapele, DE01
Udu, DE01
Ughelli South, DE01
Ughelli North, DE01
Ukwuani, DE01
Uviwie, DE01
Warri Central, DE01
Warri North, DE01
Warri South, DE01
Abakaliki, EB01
Afikpo South, EB01
Afikpo North, EB01
Ebonyi, EB01
Ezza, EB01
Ezza South, EB01
Ikwo, EB01
Ishielu, EB01
Ivo, EB01
Ohaozara, EB01
Ohaukwu, EB01
Onicha, EB01
Izzi, EB01
Akoko-Edo, ED01
Egor, ED01
Esan East, ED01
Esan South East, ED01
Esan Central, ED01
Esan West, ED01
Etsako Central, ED01
Etsako East, ED01
Etsako West, ED01
Orhionwon, ED01
Ivia North, ED01
Ovia South West, ED01
Owan West, ED01
Owan South, ED01
Uhunmwonde, ED01
Ado Ekiti, EK01
Effon Alaiye, EK01
Ekiti South West, EK01
Ekiti West, EK01
Ekiti East, EK01
Emure/Ise, EK01
Orun, EK01
Ido, EK01
Osi, EK01
Ijero, EK01
Ikere, EK01
Ikole, EK01
Ilejemeje, EK01
Irepodun, EK01
Ise/Orun, EK01
Moba, EK01
Oye, EK01
Aiyekire (Gbonyin), EK01
Awgu, EN01
Aninri, EN01
Enugu East, EN01
Enugu South, EN01
Enugu North, EN01
Ezeagu, EN01
Igbo Eze North, EN01
Igbi Etiti, EN01
Nsukka, EN01
Oji River, EN01
Undenu, EN01
Uzo-Uwani, EN01
Udi, EN01
Akko, GO01
Balanga, GO01
Billiri, GO01
Dukku, GO01
Dunakaye, GO01
Gombe, GO01
Kaltungo, GO01
Kwami, GO01
Nafada/Bajoga, GO01
Shomgom, GO01
Yamaltu/Deba, GO01
Aboh-Mbaise, IM01
Ahiazu-Mbaise, IM01
Ehime-Mbaino, IM01
Ezinihitte, IM01
Ideato North, IM01
Ideato South, IM01
Ihitte/Uboma, IM01
Ikeduru, IM01
Isiala Mbano, IM01
Isu, IM01
Mbaitoli, IM01
Ngor Okpala, IM01
Njaba, IM01
Nwangele, IM01
Nkwerre, IM01
Obowo, IM01
Ohaji/Egbema, IM01
Okigwe, IM01
Onuimo, IM01
Orlu, IM01
Orsu, IM01
Oru West, IM01
Oru East, IM01
Owerri, IM01
Owerri North, IM01
Owerri South, IM01
Auyo, JI01
Babura, JI01
Birnin-Kudu, JI01
Birniwa, JI01
Buji, JI01
Dutse, JI01
Garki, JI01
Gagarawa, JI01
Gumel, JI01
Guri, JI01
Gwaram, JI01
Gwiwa, JI01
Hadejia, JI01
Jahun, JI01
Kafin-Hausa, JI01
Kaugama, JI01
Kazaure, JI01
Kirikasamma, JI01
Birnin-Magaji, JI01
Maigatari, JI01
Malam Madori, JI01
Miga, JI01
Ringim, JI01
Roni, JI01
Sule Tankarkar, JI01
Taura, JI01
Yankwashi, JI01
Birnin Gwari, KD01
Chikun, KD01
Giwa, KD01
Kajuru, KD01
Igabi, KD01
Ikara, KD01
Jaba, KD01
Jema'a, KD01
Kachia, KD01
Kaduna North, KD01
Kaduna South, KD01
Kagarko, KD01
Kauru, KD01
Kubau, KD01
Kudan, KD01
Lere, KD01
Makarfi, KD01
Sabon Gari, KD01
Sanga, KD01
